time,logger,level,message,exception
2012-06-24 09:08:11.0029,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-06-24 09:08:11.0195,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Threads/TagCount,
2012-06-24 09:08:11.0195,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Threads/TagCount,
2012-06-24 09:08:11.2187,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-06-24 09:08:11.3037,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-06-24 09:08:11.3037,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-06-24 09:08:11.3037,Raven.Database.Server.HttpServer,Debug,"Request #2,349: GET     - 1,516 ms - HitThatLine - 200 - /stats?noCache=802854312",
2012-06-24 09:10:38.5712,Raven.Database.Server.HttpServer,Debug,"Request #2,350: GET     -    41 ms - HitThatLine - 200 - /stats?noCache=-2070491809",
2012-06-24 09:13:30.5384,Raven.Database.Server.HttpServer,Debug,"Request #2,351: GET     -    29 ms - HitThatLine - 200 - /stats?noCache=-1938780578",
2012-06-24 09:18:03.7630,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-24 09:18:03.7630,Raven.Database.Server.HttpServer,Debug,"Request #2,352: GET     -    28 ms - HitThatLine - 404 - /docs/Raven/Replication/Destinations",
2012-06-24 09:18:03.8216,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/HitThatLine' was found,
2012-06-24 09:18:03.8216,Raven.Database.Server.HttpServer,Debug,"Request #2,353: GET     -    23 ms - <default>  - 200 - /docs/Raven/Databases/HitThatLine",
2012-06-24 09:18:03.9447,Raven.Database.Server.HttpServer,Debug,"Request #2,354: HEAD    -     0 ms - HitThatLine - 200 - /indexes/Threads/TagCount",
2012-06-24 09:18:04.0941,Raven.Database.Server.HttpServer,Debug,"Request #2,355: PUT     -     1 ms - HitThatLine - 201 - /indexes/Threads/TagCount",
2012-06-24 09:18:08.4486,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'users/test' was found,
2012-06-24 09:18:08.4486,Raven.Database.Server.HttpServer,Debug,"Request #2,356: GET     -    15 ms - HitThatLine - 200 - /docs/users/test",
2012-06-24 09:18:08.6537,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fDiscussionThreads%2fByScoreSortByScore:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fDiscussionThreads_2fByScoreSortByScore : AbstractViewGenerator
{
	public Index_Temp_2fDiscussionThreads_2fByScoreSortByScore()
	{
		this.ViewText = @""from doc in docs.DiscussionThreads
select new { Score = doc.Score }
"";
		this.ForEntityNames.Add(""DiscussionThreads"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""DiscussionThreads""
			select new { Score = doc.Score, __document_id = doc.__document_id });
		this.AddField(""Score"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Score"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Score"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fDiscussionThreads_2fByScoreSortByScore : AbstractViewGenerator
{
	public Index_Temp_2fDiscussionThreads_2fByScoreSortByScore()
	{
		this.ViewText = @""from doc in docs.DiscussionThreads
select new { Score = doc.Score }
"";
		this.ForEntityNames.Add(""DiscussionThreads"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""DiscussionThreads""
			select new { Score = doc.Score, __document_id = doc.__document_id });
		this.AddField(""Score"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Score"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Score"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-06-24 09:18:08.6537,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/DiscussionThreads/ByScoreSortByScore with encoded name Temp/DiscussionThreads/ByScoreSortByScore,
2012-06-24 09:18:09.1361,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/DiscussionThreads/ByScoreSortByScore,
2012-06-24 09:18:09.1888,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT INDEX Temp/DiscussionThreads/ByScoreSortByScore,
2012-06-24 09:18:09.2122,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/DiscussionThreads/ByScoreSortByScore for all documents,
2012-06-24 09:18:09.2122,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
