time,logger,level,message,exception
2012-06-02 15:44:50.9355,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 526385152
  PollingInterval     = 00:02:00",
2012-06-02 15:44:50.9589,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096",
2012-06-02 15:44:52.5722,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-06-02 15:44:52.5878,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Raven/DocumentsByEntityName,
2012-06-02 15:44:52.6181,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-06-02 15:44:52.7099,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-06-02 15:44:52.8144,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-06-02 15:44:52.8144,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-06-02 16:02:49.8857,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:02:49.8857,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -    75 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:13:28.5898,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:13:28.5898,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -    40 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:14:10.1796,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:14:10.1796,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    26 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:14:35.6865,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:14:35.6865,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -    36 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:16:46.7724,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:16:46.7724,Raven.Database.Server.HttpServer,Debug,Request #   5: GET     -    27 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:17:49.8359,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:17:49.8359,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -    20 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:17:52.7695,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:17:52.7695,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:19:35.4072,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:19:35.4072,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -    89 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:24:02.5185,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:24:02.5185,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -    20 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:26:37.0947,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:26:37.0947,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -    23 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:28:31.4150,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:28:31.4150,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -    22 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:44:52.8359,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-06-02 16:44:52.8359,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-06-02 16:53:21.7373,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:53:21.7373,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -    25 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 16:56:32.8027,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 16:56:32.8027,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -    21 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 17:04:15.8984,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 17:04:15.8984,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -    21 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 17:10:25.6054,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 17:10:25.6054,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -    24 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 17:10:30.6562,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-02 17:10:30.6562,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-02 17:11:12.3701,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
